ID number,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
19817,January 17 2021,DOG,MIXED BREED,4,FEMALE,FALSE,Bronx,UNKNOWN
11738,June 14 2018,DOG,YORKSHIRE TERRIER MIX,1,NOT KNOWN,FALSE,Bronx,UNKNOWN
11856,June 23 2018,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Brooklyn,UNKNOWN
21873,September 16 2021,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Brooklyn,UNKNOWN
18043,May 15 2020,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Brooklyn,UNKNOWN
18658,August 08 2020,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Brooklyn,UNKNOWN
22497,December 07 2021,DOG,MIXED BREED,UNKNOWN,NOT KNOWN,FALSE,Brooklyn,UNKNOWN
14992,June 01 2019,DOG,BULLDOG,UNKNOWN,NOT KNOWN,FALSE,Brooklyn,UNKNOWN
18326,June 23 2020,DOG,MIXED BREED,1,MALE,FALSE,Bronx,UNKNOWN
10566,February 11 2018,DOG,CHIHUAHUA,UNKNOWN,NOT KNOWN,FALSE,Manhattan,UNKNOWN
7505,April 05 2017,DOG,PIT BULL,2,MALE,FALSE,Other,UNKNOWN
21233,July 11 2021,DOG,COLLIE MIX,2,MALE,FALSE,Other,UNKNOWN
17039,December 14 2019,DOG,UNKNOWN,8,FEMALE,FALSE,Other,UNKNOWN
17569,February 18 2020,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Brooklyn,UNKNOWN
9984,November 23 2017,DOG,SHIH TZU MIX,6,MALE,TRUE,Other,UNKNOWN
20,January 03 2015,DOG,COCKER SPANIEL,6,MALE,TRUE,Other,UNKNOWN
15832,August 10 2019,DOG,CHIHUAHUA MIX,7,FEMALE,TRUE,Other,UNKNOWN
21755,August 31 2021,DOG,YORKSHIRE TERRIER,6,MALE,TRUE,Other,UNKNOWN
5631,August 19 2016,DOG,PIT BULL,1,MALE,FALSE,Other,UNKNOWN
14047,February 26 2019,DOG,MALTESE,3,MALE,TRUE,Other,UNKNOWN
13684,January 07 2019,DOG,HAVANESE,UNKNOWN,MALE,FALSE,Other,UNKNOWN
12665,August 31 2018,DOG,LAB MIX,1,MALE,TRUE,Other,UNKNOWN
5229,July 10 2016,DOG,LAB MIX,4,FEMALE,TRUE,Other,UNKNOWN
9044,August 19 2017,DOG,BEAGLE -MIX,10,MALE,TRUE,Other,UNKNOWN
13370,November 22 2018,DOG,GREAT DANE,5,MALE,TRUE,Other,UNKNOWN
12005,July 04 2018,DOG,YORKSHIRE TERRIER MIX,4,MALE,TRUE,Other,UNKNOWN
10139,December 14 2017,DOG,MIXED BREED,6,MALE,FALSE,Other,UNKNOWN
14374,April 06 2019,DOG,CHIHUAHUA,5,MALE,FALSE,Other,UNKNOWN
18969,September 12 2020,DOG,MIXED BREED,5,MALE,FALSE,Other,UNKNOWN
21436,July 30 2021,DOG,MIXED BREED,2,MALE,FALSE,Other,UNKNOWN
16337,September 26 2019,DOG,UNKNOWN,3,MALE,FALSE,Other,UNKNOWN
8985,August 13 2017,DOG,SHEPHERD MIX,4,MALE,TRUE,Other,UNKNOWN
571,March 21 2015,DOG,PIT BULL,2,MALE,TRUE,Other,UNKNOWN
7609,April 16 2017,DOG,PIT BULL,6,MALE,TRUE,Other,UNKNOWN
20199,March 23 2021,DOG,MIXED BREED,5,MALE,FALSE,Other,UNKNOWN
12245,July 26 2018,DOG,MIXED BREED,3,MALE,FALSE,Other,UNKNOWN
12258,July 27 2018,DOG,MIXED BREED,3,MALE,FALSE,Other,UNKNOWN
5135,July 01 2016,DOG,MIXED BREED,2,MALE,TRUE,Other,UNKNOWN
1493,June 14 2015,DOG,TERRIER MIX,3,MALE,TRUE,Other,UNKNOWN
9115,August 25 2017,DOG,TERRIER MIX,11,MALE,TRUE,Other,UNKNOWN
10960,April 01 2018,DOG,BEAGLE -MIX,7,MALE,TRUE,Other,UNKNOWN
7261,March 06 2017,DOG,SHIH TZU MIX,2,MALE,TRUE,Other,UNKNOWN
6613,December 11 2016,DOG,DOBERMAN PINSCHER,2,MALE,FALSE,Other,UNKNOWN
12884,September 23 2018,DOG,MIXED BREED,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
15659,July 27 2019,DOG,GERMAN SHEPHERD,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
22595,December 19 2021,DOG,MIXED BREED,4,MALE,FALSE,Other,UNKNOWN
19150,October 07 2020,DOG,MIXED BREED,1,MALE,FALSE,Other,UNKNOWN
2750,October 04 2015,DOG,KING CORSO,4,MALE,FALSE,Other,UNKNOWN
4173,March 23 2016,DOG,CHIHUAHUA MIX,1,MALE,TRUE,Other,UNKNOWN
13127,October 20 2018,DOG,MIXED BREED,10,MALE,FALSE,Other,UNKNOWN
8955,August 11 2017,DOG,PAPILLON,7,FEMALE,TRUE,Other,UNKNOWN
7669,April 21 2017,DOG,POODLE,3,NOT KNOWN,FALSE,Other,UNKNOWN
9067,August 21 2017,DOG,JACK RUSSELL,8,FEMALE,FALSE,Other,UNKNOWN
11271,May 05 2018,DOG,MIXED BREED,4,FEMALE,FALSE,Other,UNKNOWN
11272,May 05 2018,DOG,MIXED BREED,4,FEMALE,FALSE,Other,UNKNOWN
19157,October 08 2020,DOG,DALMATIAN,UNKNOWN,MALE,FALSE,Other,UNKNOWN
3180,November 21 2015,DOG,MALTESE,3,MALE,FALSE,Other,UNKNOWN
10768,March 11 2018,DOG,BASSET HOUND,2,MALE,TRUE,Other,UNKNOWN
1745,July 05 2015,DOG,"POODLE, TOY",3,MALE,FALSE,Other,UNKNOWN
5549,August 10 2016,DOG,SHIH TZU,1,MALE,TRUE,Other,UNKNOWN
16006,August 28 2019,DOG,BOSTON TERRIER,12,MALE,TRUE,Other,UNKNOWN
22424,November 25 2021,DOG,UNKNOWN,11,MALE,TRUE,Other,UNKNOWN
16812,November 17 2019,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
12104,July 14 2018,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
13240,November 02 2018,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
11848,June 23 2018,DOG,MIXED BREED,7,MALE,FALSE,Other,UNKNOWN
11523,May 29 2018,DOG,PIT BULL,3,MALE,TRUE,Other,UNKNOWN
22530,December 11 2021,DOG,UNKNOWN,2,MALE,FALSE,Other,UNKNOWN
18617,August 02 2020,DOG,BULLDOG,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
2676,September 25 2015,DOG,PIT BULL MIX,2,MALE,TRUE,Other,UNKNOWN
19378,November 06 2020,DOG,UNKNOWN,2m,MALE,FALSE,Other,UNKNOWN
8427,June 29 2017,DOG,YORKSHIRE TERRIER,10,MALE,TRUE,Other,UNKNOWN
6561,December 03 2016,DOG,CATAHOULA MIX,1,MALE,TRUE,Other,UNKNOWN
18751,August 18 2020,DOG,RAT TERRIER,1,MALE,FALSE,Other,UNKNOWN
14511,April 19 2019,DOG,YORKSHIRE TERRIER,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
16473,October 11 2019,DOG,LABRADOR RETRIEVER,1,MALE,FALSE,Other,UNKNOWN
3329,December 06 2015,DOG,UNKNOWN,3,MALE,FALSE,Other,UNKNOWN
16706,November 06 2019,DOG,MIXED BREED,5,MALE,FALSE,Other,UNKNOWN
16944,December 02 2019,DOG,MIXED BREED,5,MALE,FALSE,Other,UNKNOWN
14347,April 03 2019,DOG,MIXED BREED,3,MALE,FALSE,Other,UNKNOWN
1479,June 13 2015,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
13373,November 22 2018,DOG,MIXED BREED,2,FEMALE,FALSE,Other,UNKNOWN
6826,January 11 2017,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
13118,October 19 2018,DOG,MIXED BREED,UNKNOWN,MALE,FALSE,Other,UNKNOWN
5512,August 07 2016,DOG,MIXED BREED,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
8790,July 28 2017,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
9212,September 03 2017,DOG,SHIH TZU MIX,7,MALE,TRUE,Other,UNKNOWN
15261,June 22 2019,DOG,PIT BULL MIX,1,MALE,TRUE,Other,UNKNOWN
13652,January 01 2019,DOG,MIXED BREED,2,MALE,FALSE,Other,UNKNOWN
12096,July 14 2018,DOG,MIXED BREED,3,MALE,TRUE,Other,UNKNOWN
5498,August 06 2016,DOG,PEKINGESE,7,MALE,FALSE,Other,UNKNOWN
18944,September 08 2020,DOG,SPANIEL MIX,UNKNOWN,MALE,TRUE,Other,UNKNOWN
15746,August 03 2019,DOG,GERMAN SHEPHERD,2,MALE,FALSE,Other,UNKNOWN
1229,May 25 2015,DOG,ENGLISH MASTIFF,1,FEMALE,FALSE,Other,UNKNOWN
4899,June 06 2016,DOG,AMERICAN BULLDOG,5,MALE,FALSE,Other,UNKNOWN
4900,June 06 2016,DOG,AMERICAN BULLDOG,5,MALE,FALSE,Other,UNKNOWN
6407,November 13 2016,DOG,YORKSHIRE TERRIER,7,MALE,TRUE,Other,UNKNOWN
15645,July 25 2019,DOG,GOLDEN RETRIEVER MIX,6m,FEMALE,TRUE,Other,UNKNOWN
2404,August 30 2015,DOG,PIT BULL MIX,4,MALE,TRUE,Other,UNKNOWN
2496,September 07 2015,DOG,PIT BULL MIX,4,MALE,FALSE,Other,UNKNOWN
9357,September 17 2017,DOG,CHIHUAHUA MIX,6,MALE,TRUE,Other,UNKNOWN
843,April 19 2015,DOG,PIT BULL,,FEMALE,TRUE,Other,UNKNOWN
6038,September 29 2016,DOG,BEAGLE -MIX,2,FEMALE,TRUE,Other,UNKNOWN
15391,July 03 2019,DOG,UNKNOWN,UNKNOWN,FEMALE,FALSE,Other,UNKNOWN
14524,April 20 2019,DOG,SHIH TZU,13,NOT KNOWN,FALSE,Other,UNKNOWN
5721,August 27 2016,DOG,UNKNOWN,3m,MALE,FALSE,Other,UNKNOWN
19437,November 16 2020,DOG,MIXED BREED,11,MALE,FALSE,Other,UNKNOWN
7782,May 03 2017,DOG,"POODLE, STANDARD",UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
11586,June 03 2018,DOG,"MASTIFF, NEAPOLITAN",2,MALE,TRUE,Other,UNKNOWN
4539,April 30 2016,DOG,PIT BULL MIX,4,FEMALE,FALSE,Other,UNKNOWN
10942,March 30 2018,DOG,LABRADOR RETRIEVER,UNKNOWN,MALE,FALSE,Other,UNKNOWN
1508,June 16 2015,DOG,"COLLIE, SMOOTH COAT",7,FEMALE,TRUE,Other,UNKNOWN
15182,June 15 2019,DOG,LAB MIX,3,MALE,TRUE,Other,UNKNOWN
6858,January 15 2017,DOG,BORDER COLLIE MIX,13,FEMALE,FALSE,Other,UNKNOWN
5400,July 29 2016,DOG,COCKER SPANIEL MIX,1,MALE,FALSE,Other,UNKNOWN
22026,October 08 2021,DOG,PIT BULL,4,NOT KNOWN,TRUE,Other,UNKNOWN
20392,April 14 2021,DOG,MINI LABRADOODLE,UNKNOWN,MALE,TRUE,Other,UNKNOWN
5190,July 05 2016,DOG,CHIHUAHUA,8m,MALE,TRUE,Other,UNKNOWN
16530,October 17 2019,DOG,SHIH TZU,3,FEMALE,TRUE,Other,UNKNOWN
4396,April 18 2016,DOG,PIT BULL MIX,2,MALE,TRUE,Other,UNKNOWN
4487,April 26 2016,DOG,PIT BULL MIX,2,MALE,TRUE,Other,UNKNOWN
15183,June 15 2019,DOG,MALTESE,8,FEMALE,FALSE,Other,UNKNOWN
20234,March 28 2021,DOG,ROTTWEILER,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
11503,May 27 2018,DOG,UNKNOWN,UNKNOWN,FEMALE,FALSE,Other,UNKNOWN
16933,November 30 2019,DOG,MALTESE,4,FEMALE,TRUE,Other,UNKNOWN
15919,August 20 2019,DOG,COCKER SPANIEL,11,MALE,TRUE,Other,UNKNOWN
15696,July 30 2019,DOG,CHIHUAHUA MIX,6,FEMALE,TRUE,Other,UNKNOWN
14458,April 14 2019,DOG,BICHON FRISE,UNKNOWN,NOT KNOWN,FALSE,Other,UNKNOWN
9814,November 04 2017,DOG,MIXED BREED,6,FEMALE,FALSE,Other,UNKNOWN
7012,February 05 2017,DOG,GOLDEN RETRIEVER MIX,5,MALE,FALSE,Other,UNKNOWN
7013,February 05 2017,DOG,GOLDEN RETRIEVER MIX,5,MALE,FALSE,Other,UNKNOWN
9687,October 21 2017,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
12723,September 06 2018,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
18821,August 25 2020,DOG,UNKNOWN,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
22363,November 16 2021,DOG,UNKNOWN,UNKNOWN,MALE,FALSE,Manhattan,10001
7833,May 09 2017,DOG,PUG,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
5336,July 22 2016,DOG,PIT BULL MIX,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
8845,August 02 2017,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
19680,December 21 2020,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
20973,June 16 2021,DOG,PIT BULL,UNKNOWN,NOT KNOWN,FALSE,Manhattan,10001
